SA3_CODE_2021,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P
59797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59999,27.0,31.0,58.0,45.0,31.0,73.0,30.0,28.0,60.0
60101,143.0,146.0,286.0,126.0,108.0,241.0,167.0,159.0,326.0
60102,344.0,317.0,660.0,337.0,318.0,657.0,366.0,350.0,711.0
60103,335.0,325.0,656.0,352.0,289.0,646.0,339.0,301.0,645.0
60104,217.0,174.0,389.0,199.0,188.0,389.0,228.0,238.0,468.0
60105,235.0,210.0,438.0,205.0,200.0,403.0,245.0,221.0,467.0
60106,103.0,87.0,189.0,106.0,97.0,208.0,110.0,116.0,227.0
60201,459.0,458.0,920.0,461.0,432.0,899.0,523.0,486.0,1011.0
60202,108.0,114.0,219.0,121.0,99.0,217.0,140.0,123.0,263.0
60203,178.0,163.0,342.0,216.0,204.0,416.0,218.0,174.0,389.0
60301,77.0,51.0,126.0,59.0,55.0,116.0,71.0,70.0,136.0
60302,110.0,104.0,211.0,118.0,116.0,233.0,121.0,109.0,229.0
60303,21.0,18.0,38.0,27.0,20.0,41.0,32.0,26.0,60.0
60401,249.0,245.0,497.0,253.0,251.0,510.0,273.0,241.0,516.0
60402,204.0,252.0,455.0,246.0,229.0,470.0,238.0,239.0,475.0
60403,103.0,101.0,203.0,89.0,113.0,207.0,118.0,92.0,211.0
69797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69999,5.0,7.0,15.0,3.0,7.0,11.0,4.0,7.0,8.0
70101,134.0,113.0,244.0,131.0,153.0,281.0,120.0,150.0,267.0
70102,380.0,345.0,722.0,381.0,395.0,781.0,355.0,367.0,723.0
70103,120.0,105.0,223.0,112.0,101.0,217.0,128.0,130.0,256.0
70104,352.0,345.0,701.0,352.0,299.0,655.0,341.0,341.0,679.0
70201,290.0,261.0,550.0,270.0,270.0,540.0,299.0,240.0,542.0
70202,56.0,51.0,106.0,36.0,50.0,87.0,48.0,37.0,82.0
70203,111.0,107.0,217.0,105.0,87.0,189.0,126.0,119.0,245.0
70204,119.0,88.0,208.0,105.0,79.0,177.0,126.0,92.0,214.0
70205,178.0,153.0,330.0,157.0,131.0,290.0,141.0,167.0,311.0
79797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79999,26.0,12.0,35.0,21.0,5.0,34.0,19.0,19.0,42.0
80101,653.0,629.0,1284.0,651.0,577.0,1231.0,728.0,613.0,1340.0
80103,5.0,0.0,14.0,9.0,10.0,11.0,4.0,7.0,13.0
80104,696.0,655.0,1345.0,690.0,680.0,1374.0,763.0,735.0,1501.0
80105,235.0,228.0,467.0,230.0,240.0,472.0,264.0,267.0,529.0
80106,105.0,136.0,243.0,101.0,124.0,228.0,142.0,130.0,273.0
80107,549.0,499.0,1044.0,580.0,558.0,1137.0,576.0,582.0,1156.0
80108,134.0,144.0,282.0,147.0,138.0,286.0,176.0,168.0,344.0
80109,225.0,203.0,428.0,200.0,168.0,371.0,236.0,215.0,444.0
80110,86.0,105.0,187.0,113.0,99.0,206.0,114.0,100.0,211.0
80111,3.0,4.0,9.0,3.0,4.0,11.0,8.0,9.0,12.0
89797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89999,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
90101,11.0,3.0,14.0,9.0,7.0,17.0,3.0,16.0,20.0
90102,3.0,0.0,8.0,4.0,10.0,10.0,4.0,7.0,12.0
90103,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,5.0
90104,13.0,6.0,20.0,11.0,5.0,15.0,11.0,13.0,22.0
99797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10102,,,,,,,,,
10103,,,,,,,,,
10104,,,,,,,,,
10105,,,,,,,,,
10106,,,,,,,,,
10201,,,,,,,,,
10202,,,,,,,,,
10301,,,,,,,,,
10302,,,,,,,,,
10303,,,,,,,,,
10304,,,,,,,,,
10401,,,,,,,,,
