State,SA3_Code,SA3_Name,Age Group,% DTP,% Polio,% HIB,% HEP,% MMR,% Pneumo,% MenC,% Varicella,% Fully
VIC,21104,Whitehorse - East,1 Year olds,95.38784067,95.59748428,95.17819706,95.59748428,0,96.85534591,0,0,94.96855346
VIC,21105,Yarra Ranges,1 Year olds,91.99288256,91.8742586,91.81494662,92.05219454,0,93.35705813,0,0,91.5776987
VIC,21201,Cardinia,1 Year olds,92.38410596,92.4392936,92.16335541,92.82560706,0,93.87417219,0,0,91.66666667
VIC,21202,Casey - North,1 Year olds,91.98966408,91.98966408,91.40826873,92.18346253,0,94.05684755,0,0,91.1498708
VIC,21203,Casey - South,1 Year olds,94.01455918,94.01455918,93.85279051,94.23025074,0,95.55136155,0,0,93.47533028
VIC,21204,Dandenong,1 Year olds,92.55319149,92.50253293,92.45187437,92.60385005,0,94.73150963,0,0,91.99594732
VIC,21205,Monash,1 Year olds,94.8421863,94.8421863,94.53425712,95.30408006,0,96.53579677,0,0,94.22632794
VIC,21301,Brimbank,1 Year olds,92,92.05405405,91.83783784,91.94594595,0,94.05405405,0,0,90.97297297
VIC,21302,Hobsons Bay,1 Year olds,94.06779661,93.96186441,93.96186441,94.80932203,0,95.02118644,0,0,93.53813559
VIC,21303,Maribyrnong,1 Year olds,94.09326425,94.09326425,94.09326425,94.92227979,0,95.64766839,0,0,93.57512953
VIC,21304,Melton - Bacchus Marsh,1 Year olds,92.35585703,92.35585703,92.17323245,93.24289069,0,94.72997652,0,0,91.78189408
VIC,21305,Wyndham,1 Year olds,93.17045017,93.151212,92.7856868,94.45940746,0,95.24817237,0,0,92.32397076
VIC,21401,Frankston,1 Year olds,93.84615385,93.84615385,93.90532544,95.14792899,0,95.68047337,0,0,93.55029586
VIC,21402,Mornington Peninsula,1 Year olds,89.13385827,89.21259843,88.97637795,90.39370079,0,92.36220472,0,0,88.81889764
VIC,21501,Grampians,1 Year olds,96.16055846,96.16055846,95.98603839,96.16055846,0,96.85863874,0,0,95.81151832
VIC,21502,Mildura,1 Year olds,94.11764706,94.11764706,94.11764706,95.51083591,0,96.13003096,0,0,93.9628483
VIC,21503,Murray River - Swan Hill,1 Year olds,94.74940334,94.74940334,94.51073986,95.22673031,0,95.70405728,0,0,94.03341289
VIC,21601,Campaspe,1 Year olds,95.49071618,95.49071618,95.49071618,96.02122016,0,96.55172414,0,0,94.9602122
VIC,21602,Moira,1 Year olds,94.75524476,94.75524476,94.75524476,96.15384615,0,96.85314685,0,0,94.40559441
VIC,21603,Shepparton,1 Year olds,92.56097561,92.56097561,92.56097561,94.02439024,0,94.3902439,0,0,92.19512195
VIC,21701,Glenelg - Southern Grampians,1 Year olds,94.53924915,94.53924915,94.53924915,94.53924915,0,94.88054608,0,0,94.19795222
VIC,21702,Warrnambool - Otway Ranges,1 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
VIC,21703,Colac - Corangamite,1 Year olds,91.62011173,91.62011173,91.62011173,92.17877095,0,93.01675978,0,0,91.62011173
VIC,21704,Warrnambool,1 Year olds,94.6714032,94.6714032,94.6714032,96.09236234,0,96.44760213,0,0,94.4937833
VIC,NM,Not mapped,2 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
VIC,20101,Ballarat,2 Year olds,94.68242245,97.04579025,95.64254062,97.04579025,94.83013294,95.79025111,96.75036928,94.90398818,93.50073855
VIC,20102,Creswick - Daylesford - Ballan,2 Year olds,91.11969112,94.98069498,91.89189189,94.98069498,91.50579151,93.43629344,93.82239382,91.50579151,90.34749035
VIC,20103,Maryborough - Pyrenees,2 Year olds,92.47787611,95.57522124,94.24778761,95.57522124,92.03539823,94.69026549,95.13274336,92.47787611,92.03539823
VIC,20201,Bendigo,2 Year olds,94.79084451,97.47434886,95.97474349,97.47434886,95.10655091,95.97474349,96.92186267,95.18547751,93.76479874
VIC,20202,Heathcote - Castlemaine - Kyneton,2 Year olds,91.22807018,93.85964912,92.10526316,93.85964912,91.66666667,92.98245614,93.64035088,91.88596491,90.35087719
VIC,20203,Loddon - Elmore,2 Year olds,?95.00,?95.00,?95.00,?95.00,?95.00,?95.00,?95.00,?95.00,?95.00
VIC,20301,Barwon - West,2 Year olds,91.63987138,95.17684887,92.92604502,95.17684887,91.63987138,93.89067524,93.89067524,91.63987138,90.99678457
VIC,20302,Geelong,2 Year olds,93.13688922,96.12085043,93.92017904,96.15814994,93.39798583,94.92726595,95.07646401,93.50988437,91.98060425
VIC,20303,Surf Coast - Bellarine Peninsula,2 Year olds,91.00580271,94.00386847,91.6827853,94.10058027,91.2959381,92.55319149,93.42359768,91.2959381,90.03868472
VIC,20401,Upper Goulburn Valley,2 Year olds,93.09153713,96.02763385,93.2642487,96.02763385,92.91882556,95.33678756,95.33678756,93.09153713,92.40069085
VIC,20402,Wangaratta - Benalla,2 Year olds,92.09401709,94.87179487,91.45299145,95.08547009,91.66666667,94.01709402,94.44444444,91.66666667,91.02564103
VIC,20403,Wodonga - Alpine,2 Year olds,93.21637427,95.0877193,94.26900585,95.0877193,94.03508772,94.38596491,94.50292398,93.80116959,92.04678363
VIC,20501,Baw Baw,2 Year olds,88.2179676,92.63622975,89.10162003,93.22533137,87.92341679,91.1634757,91.45802651,88.2179676,86.59793814
VIC,20502,Gippsland - East,2 Year olds,93.27146172,96.05568445,94.66357309,96.05568445,93.50348028,95.82366589,95.12761021,93.73549884,92.57540603
VIC,20503,Gippsland - South West,2 Year olds,91.09375,94.6875,91.71875,94.6875,91.09375,94.21875,94.84375,91.25,89.6875
VIC,20504,Latrobe Valley,2 Year olds,91.09589041,94.29223744,92.57990868,94.29223744,92.35159817,93.03652968,94.06392694,92.23744292,89.84018265
VIC,20505,Wellington,2 Year olds,91.40461216,93.92033543,92.03354298,94.54926625,91.61425577,93.08176101,93.92033543,91.82389937,90.56603774
VIC,20601,Brunswick - Coburg,2 Year olds,93.88264669,96.50436954,94.63171036,96.75405743,94.25717853,95.88014981,95.38077403,94.00749064,92.00998752
VIC,20602,Darebin - South,2 Year olds,94.10569106,96.54471545,95.12195122,97.15447154,94.30894309,96.13821138,95.52845528,94.51219512,92.4796748
VIC,20603,Essendon,2 Year olds,94.30894309,97.23577236,95.77235772,97.07317073,94.47154472,95.6097561,95.6097561,95.6097561,92.35772358
VIC,20604,Melbourne City,2 Year olds,90.54794521,94.79452055,91.64383562,94.79452055,90.95890411,92.46575342,92.73972603,91.36986301,88.35616438
VIC,20605,Port Phillip,2 Year olds,92.68965517,95.72413793,93.37931034,95.86206897,93.37931034,94.75862069,95.5862069,93.24137931,92.13793103
VIC,20606,Stonnington - West,2 Year olds,88.88888889,94.10430839,89.79591837,95.01133787,89.569161,92.29024943,93.42403628,89.79591837,87.52834467
VIC,20607,Yarra,2 Year olds,92.55319149,96.94148936,93.88297872,97.7393617,93.21808511,95.34574468,96.0106383,93.88297872,91.09042553
VIC,20701,Boroondara,2 Year olds,93.20882852,96.77419355,94.1426146,96.60441426,92.86926995,95.16129032,95.24617997,93.63327674,90.74702886
VIC,20702,Manningham - West,2 Year olds,91.92771084,96.14457831,93.13253012,96.26506024,92.1686747,94.93975904,94.69879518,92.53012048,90.36144578
VIC,20703,Whitehorse - West,2 Year olds,93.71069182,97.2327044,94.96855346,97.48427673,94.8427673,95.09433962,95.47169811,94.8427673,92.20125786
VIC,20801,Bayside,2 Year olds,91.09311741,95.27665317,92.57759784,95.41160594,92.17273954,93.79217274,94.46693657,92.71255061,89.87854251
VIC,20802,Glen Eira,2 Year olds,93.55980184,96.24911536,94.47983015,96.39065817,93.77211607,94.76291578,94.9044586,94.12597311,91.93205945
VIC,20803,Kingston,2 Year olds,93.60655738,95.81967213,94.83606557,95.90163934,93.93442623,95,95.16393443,94.09836066,92.95081967
VIC,20804,Stonnington - East,2 Year olds,94.04761905,97.91666667,94.64285714,97.61904762,93.75,96.72619048,96.13095238,94.94047619,91.96428571
VIC,20901,Banyule,2 Year olds,92.32488823,96.12518629,94.03874814,96.34873323,93.29359165,94.56035768,95.30551416,93.5171386,91.13263785
VIC,20902,Darebin - North,2 Year olds,90.63829787,94.68085106,91.91489362,95.21276596,90.85106383,92.9787234,93.93617021,91.17021277,88.93617021
VIC,20903,Nillumbik - Kinglake,2 Year olds,89.27392739,93.56435644,90.4290429,93.56435644,89.10891089,92.24422442,92.90429043,89.43894389,88.61386139
VIC,20904,Whittlesea - Wallan,2 Year olds,91.51498929,95.71734475,92.82655246,95.82441113,91.83618844,94.24518201,94.40578158,91.94325482,90.14989293
VIC,21001,Keilor,2 Year olds,90.12345679,93.82716049,91.53439153,94.00352734,90.29982363,92.06349206,93.65079365,90.47619048,89.06525573
VIC,21002,Macedon Ranges,2 Year olds,88.44339623,93.86792453,90.09433962,93.63207547,88.67924528,91.74528302,93.16037736,88.91509434,87.26415094
VIC,21003,Moreland - North,2 Year olds,89.91750687,95.05041247,91.38405133,95.41704858,90.6507791,92.85059578,92.94225481,91.2923923,87.99266728
VIC,21004,Sunbury,2 Year olds,91.63237311,94.51303155,92.45541838,94.65020576,91.76954733,94.10150892,94.10150892,92.04389575,90.53497942
VIC,21005,Tullamarine - Broadmeadows,2 Year olds,89.09147095,94.62299135,91.19283066,94.77750309,90.01854141,92.58343634,93.29419036,90.35846724,87.66996292
VIC,21101,Knox,2 Year olds,94.58762887,97.16494845,95.68298969,97.22938144,95.16752577,96.00515464,96.45618557,95.48969072,93.55670103
VIC,21102,Manningham - East,2 Year olds,88.88888889,91.35802469,90.74074074,92.59259259,90.12345679,90.74074074,91.97530864,90.12345679,87.03703704
VIC,21103,Maroondah,2 Year olds,93.81443299,96.82791435,94.44885012,96.66931007,94.36954798,94.84536082,95.40047581,94.2109437,93.10071372
VIC,21104,Whitehorse - East,2 Year olds,94.21487603,97.31404959,95.04132231,97.31404959,94.21487603,95.8677686,95.24793388,94.83471074,91.73553719
VIC,21105,Yarra Ranges,2 Year olds,91.80503482,95.23299411,92.92983396,95.3936797,92.01928227,94.10819497,94.91162292,92.28709159,90.7873594
VIC,21201,Cardinia,2 Year olds,92.04114781,94.9648078,92.96155929,95.12723335,92.36599892,93.88197076,94.20682187,92.47428262,90.95831077
VIC,21202,Casey - North,2 Year olds,89.1588785,93.64485981,90.8411215,93.64485981,90.34267913,91.58878505,92.77258567,90.7788162,87.6635514
VIC,21203,Casey - South,2 Year olds,92.39075841,96.20793571,93.57106981,96.30838774,92.74234053,94.82672024,95.0025113,92.99347062,91.31089905
VIC,21204,Dandenong,2 Year olds,89.78658537,94.76626016,91.15853659,94.76626016,90.90447154,92.4796748,93.08943089,91.05691057,88.36382114
VIC,21205,Monash,2 Year olds,92.39130435,95.72463768,93.62318841,96.01449275,92.68115942,95.07246377,94.56521739,93.55072464,90.86956522
VIC,21301,Brimbank,2 Year olds,89.32975871,94.63806971,91.20643432,94.85254692,90.02680965,92.06434316,92.92225201,90.45576408,87.66756032
VIC,21302,Hobsons Bay,2 Year olds,91.82452642,95.61316052,92.92123629,96.01196411,92.7218345,93.51944167,94.51645065,92.92123629,90.12961117
VIC,21303,Maribyrnong,2 Year olds,92.37288136,96.8220339,93.8559322,97.24576271,92.90254237,95.12711864,95.76271186,93.32627119,91.20762712
VIC,21304,Melton - Bacchus Marsh,2 Year olds,90.75823334,95.25146796,92.34107736,95.30252744,91.49859586,94.05157008,94.05157008,91.54965535,89.73704366
VIC,21305,Wyndham,2 Year olds,91.58649311,96.18939823,93.0579136,96.5289568,92.45425391,94.47274099,94.52933409,92.56744011,90.32258065
VIC,21401,Frankston,2 Year olds,93.21058688,95.16685846,93.78596087,95.39700806,93.32566168,94.30379747,95.16685846,93.61334868,92.52013809
VIC,21402,Mornington Peninsula,2 Year olds,90.15544041,94.30051813,92.30199852,94.7446336,90.74759437,93.11621021,93.63434493,90.82161362,89.04515174
VIC,21501,Grampians,2 Year olds,92.52173913,95.13043478,93.04347826,95.47826087,92.52173913,94.08695652,94.60869565,92.86956522,90.26086957
VIC,21502,Mildura,2 Year olds,94.04580153,96.79389313,94.50381679,98.01526718,94.35114504,96.64122137,96.94656489,94.19847328,93.28244275
VIC,21503,Murray River - Swan Hill,2 Year olds,91.96217494,94.79905437,93.8534279,94.79905437,92.43498818,94.08983452,94.56264775,92.19858156,90.54373522
VIC,21601,Campaspe,2 Year olds,92.45810056,96.36871508,93.57541899,96.64804469,93.01675978,94.41340782,95.25139665,93.01675978,91.62011173
VIC,21602,Moira,2 Year olds,95.58359621,96.84542587,96.52996845,96.84542587,95.58359621,96.84542587,97.16088328,95.89905363,94.95268139
VIC,21603,Shepparton,2 Year olds,89.8034398,94.47174447,91.27764128,94.71744472,89.92628993,91.89189189,93.24324324,90.17199017,87.83783784
VIC,21701,Glenelg - Southern Grampians,2 Year olds,92.6686217,94.42815249,92.6686217,94.13489736,91.7888563,93.84164223,93.5483871,92.08211144,90.02932551
VIC,21702,Warrnambool - Otway Ranges,2 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
VIC,21703,Colac - Corangamite,2 Year olds,89.20308483,92.80205656,89.97429306,92.80205656,89.71722365,90.23136247,91.77377892,89.71722365,87.66066838
VIC,21704,Warrnambool,2 Year olds,92.93286219,96.1130742,93.81625442,96.4664311,92.93286219,95.58303887,95.58303887,93.10954064,92.22614841
VIC,NM,Not mapped,5 Year olds,NP,NP,NP,NP,NP,NP,NP,NP,NP
VIC,20101,Ballarat,5 Year olds,96.01423488,96.08540925,0,0,0,0,0,0,95.80071174
VIC,20102,Creswick - Daylesford - Ballan,5 Year olds,93.65671642,93.28358209,0,0,0,0,0,0,93.28358209
VIC,20103,Maryborough - Pyrenees,5 Year olds,94.06779661,94.06779661,0,0,0,0,0,0,94.06779661
VIC,20201,Bendigo,5 Year olds,96.58119658,96.42579643,0,0,0,0,0,0,96.34809635
VIC,20202,Heathcote - Castlemaine - Kyneton,5 Year olds,94.36619718,94.36619718,0,0,0,0,0,0,94.36619718
VIC,20203,Loddon - Elmore,5 Year olds,95.19230769,95.19230769,0,0,0,0,0,0,95.19230769
VIC,20301,Barwon - West,5 Year olds,94.01197605,93.71257485,0,0,0,0,0,0,93.71257485
VIC,20302,Geelong,5 Year olds,96.07552758,96.03850426,0,0,0,0,0,0,95.85338763
VIC,20303,Surf Coast - Bellarine Peninsula,5 Year olds,94.0312213,93.93939394,0,0,0,0,0,0,93.93939394
